epiweek,region,first-observed-wili,final-observed-wili
201120,hhs4,0.98299998044968,0.926207
201041,hhs5,0.88599997758865,0.754806
201042,hhs5,0.86799997091293,0.863591
201043,hhs5,0.89899998903275,0.861809
201044,hhs5,0.93500000238419,1.02943
201045,hhs5,1.0060000419617,0.948068
201046,hhs5,0.92299997806549,0.948368
201047,hhs5,0.9549999833107,1.03662
201048,hhs5,0.96700000762939,0.926949
201049,hhs5,1.1610000133514,0.964041
201050,hhs5,1.0299999713898,1.06663
201051,hhs5,1.7369999885559,1.38365
201052,hhs5,2.1180000305176,1.69891
201101,hhs5,1.5470000505447,1.52658
201102,hhs5,1.8140000104904,1.73968
201103,hhs5,2.3570001125336,2.44083
201104,hhs5,3.3710000514984,3.33709
201105,hhs5,4.3299999237061,3.78044
201106,hhs5,3.3840000629425,3.3294
201107,hhs5,3.5450000762939,3.31857
201108,hhs5,3.0320000648499,3.13872
201109,hhs5,2.6119999885559,2.85753
201110,hhs5,2.1870000362396,2.51636
201111,hhs5,2.3540000915527,2.40202
201112,hhs5,1.5670000314713,1.61533
201113,hhs5,1.3990000486374,1.52675
201114,hhs5,1.1460000276566,1.2669
201115,hhs5,0.908999979496,0.902013
201116,hhs5,0.90100002288818,0.853615
201117,hhs5,0.72200000286102,0.774965
201118,hhs5,0.92400002479553,0.751988
201119,hhs5,0.87699997425079,0.764519
201120,hhs5,0.82599997520447,0.767403
201041,hhs6,1.8029999732971,1.86262
201042,hhs6,2.095999956131,1.99312
201043,hhs6,1.8099999427795,1.99243
201044,hhs6,2.0629999637604,2.24871
201045,hhs6,2.2909998893738,2.36384
201046,hhs6,2.7049999237061,2.40205
201047,hhs6,2.2349998950958,2.61929
201048,hhs6,2.5599999427795,2.46261
201049,hhs6,3.1570000648499,2.33473
201050,hhs6,2.9200000762939,2.8973
201051,hhs6,3.2469999790192,3.8447
201052,hhs6,2.9760000705719,3.77879
201101,hhs6,2.7579998970032,3.33221
201102,hhs6,4.0390000343323,4.42108
201103,hhs6,6.451000213623,5.74786
201104,hhs6,6.6240000724792,6.90089
201105,hhs6,7.3489999771118,7.60514
201106,hhs6,7.4479999542236,7.77494
