season,model-id,model-dir
2016/2017,Delphi-EmpiricalBayes2,Delphi_EmpiricalBayes_PackageDefaults
2016/2017,Delphi-EmpiricalFuture,Delphi_EmpiricalFutures_PackageDefaults
2016/2017,Delphi-EmpiricalTraj,Delphi_EmpiricalTrajectories_PackageDefaults
2016/2017,Delphi-DeltaDensity2,Delphi_MarkovianDeltaDensity_PackageDefaults
2016/2017,Delphi-Stat,Delphi_Stat_FewerComponentsNoBackcastNoNowcast
2016/2017,Delphi-Uniform,Delphi_Uniform
2016/2017,ReichLab-KCDE,ReichLab_kcde
2016/2017,ReichLab-KDE,ReichLab_kde
2016/2017,ReichLab-SARIMA1,ReichLab_sarima_seasonal_difference_FALSE
2016/2017,ReichLab-SARIMA2,ReichLab_sarima_seasonal_difference_TRUE
