model,season,region,score,oneWk,twoWk,threeWk,fourWk
Delphi-Uniform,2010-2011,hhs1,log,-5.219354002823496,-5.216526195200267,-5.213509867068822,-5.210285516307623
ReichLab-KCDE,2010-2011,hhs1,mae,0.12171875424683126,0.16641936494457904,0.15973333875338203,0.1388275874072179
ReichLab-KCDE,2010-2011,hhs1,log,-2.1913988168378165,-2.4025111242954047,-2.4780454113027344,-2.5074498138019115
ReichLab-KDE,2010-2011,hhs1,mae,0.23682759013669308,0.24482143095561248,0.24855555781611485,0.23584615679887688
ReichLab-KDE,2010-2011,hhs1,log,-2.8889082734448532,-2.89452705720592,-2.911457199483478,-2.925523211217139
ReichLab-SARIMA1,2010-2011,hhs1,mae,0.15853125415742128,0.2213225760767552,0.2983333345254273,0.36896551354178275
ReichLab-SARIMA1,2010-2011,hhs1,log,-2.325105996535901,-2.6481404019576744,-2.836304150699432,-2.9801927122538734
ReichLab-SARIMA2,2010-2011,hhs1,mae,0.2111562464386232,0.30267742103145967,0.36279999852180733,0.39448275689421314
ReichLab-SARIMA2,2010-2011,hhs1,log,-2.5336984128188957,-2.7997057868349673,-2.923077530061788,-3.0066848181860935
CU-BMA,2010-2011,hhs2,mae,0.6762499834810035,0.6485714137554142,0.7127407383035703,0.7188846056277961
CU-BMA,2010-2011,hhs2,log,-3.900009740748694,-4.619934601980907,-4.2291369700501455,-4.394593420079298
CU-EAKFC,2010-2011,hhs2,mae,0.5026785859039892,0.5301428581986999,0.5997777753406074,0.6964230720813425
CU-EAKFC,2010-2011,hhs2,log,-4.082183260990465,-4.199838715376501,-4.790532973945382,-4.580221402700819
Delphi-BasisRegression,2010-2011,hhs2,mae,0.7524687401950314,0.9118386922344034,1.03953331470489,1.1406551583059865
Delphi-BasisRegression,2010-2011,hhs2,log,-4.6902133310069605,-4.693692927197088,-4.695660476825266,-4.696833930483774
Delphi-DeltaDensity1,2010-2011,hhs2,mae,0.5564687468111584,0.5819677360596163,0.5989333279927567,0.6836206789674414
Delphi-DeltaDensity1,2010-2011,hhs2,log,-3.8417586918964783,-3.472318350415061,-3.4548507840841,-3.6231963003289436
Delphi-DeltaDensity2,2010-2011,hhs2,mae,0.6425937570631564,0.7211290274896934,0.74826666355133,0.8552068981631038
Delphi-DeltaDensity2,2010-2011,hhs2,log,-5.2011691002274745,-4.81876770870956,-4.521823264401155,-4.567732930458957
Delphi-EmpiricalBayes1,2010-2011,hhs2,mae,0.5310937501490188,0.5895806443306677,0.6779999844233165,0.7234827510241794
Delphi-EmpiricalBayes1,2010-2011,hhs2,log,-3.6169626205203818,-3.7652505777582967,-3.9640878448958374,-4.1492405865026205
Delphi-EmpiricalBayes2,2010-2011,hhs2,mae,0.46421874985098743,0.45822580168324184,0.4895333290100098,0.5447241314526275
Delphi-EmpiricalBayes2,2010-2011,hhs2,log,-3.395738549771589,-3.3809347855805743,-3.466059986483088,-3.6036345978585578
Delphi-EmpiricalFuture,2010-2011,hhs2,mae,0.8904062412679189,0.9086128950119,0.9349333254496234,0.9572068863901587
Delphi-EmpiricalFuture,2010-2011,hhs2,log,-4.002795226550183,-4.010343196686667,-4.010236023501766,-4.007062092343623
Delphi-EmpiricalTraj,2010-2011,hhs2,mae,0.8904062412679189,0.9086128950119,0.9349333254496234,0.9572068863901587
Delphi-EmpiricalTraj,2010-2011,hhs2,log,-4.002795226550183,-4.010343196686667,-4.010236023501766,-4.007062092343623
Delphi-Stat,2010-2011,hhs2,mae,0.5574920040445106,0.5828802974564029,0.6040564780759181,0.7222501830707108
Delphi-Stat,2010-2011,hhs2,log,-3.4503448459433304,-3.450498661388872,-3.4891586534366565,-3.6166293190683083
Delphi-Uniform,2010-2011,hhs2,mae,3.866593755036594,3.8228064560121133,3.7725333372751906,3.7246551784975797
Delphi-Uniform,2010-2011,hhs2,log,-5.007209582804953,-5.0021747586267304,-4.996260998054103,-4.990501407217008
ReichLab-KCDE,2010-2011,hhs2,mae,0.5535312481224562,0.6409354771337132,0.7023333279291769,0.8646551551489933
ReichLab-KCDE,2010-2011,hhs2,log,-3.388128120830718,-3.514730241328786,-3.6362213791969142,-3.7455737844750985
ReichLab-KDE,2010-2011,hhs2,mae,0.9610689516725174,0.974571414504729,0.9956296170199337,1.0087307581534735
ReichLab-KDE,2010-2011,hhs2,log,-3.8868628510706382,-3.9314691766067686,-3.9863297621195737,-3.9956736981502186
ReichLab-SARIMA1,2010-2011,hhs2,mae,0.6125312454998562,0.756483861707868,0.8915333318710302,1.0323103419665587
ReichLab-SARIMA1,2010-2011,hhs2,log,-3.4829015484611925,-3.6629692262708304,-3.9137572676859462,-4.021740717775256
ReichLab-SARIMA2,2010-2011,hhs2,mae,0.6464062429964625,0.7385483841742227,0.8359999879201236,0.9298965412994895
ReichLab-SARIMA2,2010-2011,hhs2,log,-3.5456654264384886,-3.7339763420578063,-3.9149495035590283,-4.073376485220816
CU-BMA,2010-2011,hhs3,mae,0.40625001362391927,0.5294642933777443,0.5712592610606421,0.5665384457661632
CU-BMA,2010-2011,hhs3,log,-3.180684577654635,-3.294604387288955,-3.832639980067052,-3.8295098243121264
CU-EAKFC,2010-2011,hhs3,mae,0.49225000313349776,0.5657499900885943,0.4879999911343606,0.4823076761685939
CU-EAKFC,2010-2011,hhs3,log,-4.912852118318148,-5.134626521229998,-5.0687601392131345,-5.11438461882056
Delphi-BasisRegression,2010-2011,hhs3,mae,0.527468727529048,0.6359354665202462,0.6932333191235848,0.7268620548577117
Delphi-BasisRegression,2010-2011,hhs3,log,-4.7248953256667034,-4.731426897512213,-4.733244638109546,-4.731892033455517
Delphi-DeltaDensity1,2010-2011,hhs3,mae,0.23290624171495444,0.3649677384284271,0.4280333145459514,0.4874827376727391
Delphi-DeltaDensity1,2010-2011,hhs3,log,-2.5734749861841504,-2.93400821604648,-3.0598666252250504,-3.163745207727391
Delphi-DeltaDensity2,2010-2011,hhs3,mae,0.3150312617421168,0.48696775282583354,0.5858333388964313,0.6795517189749324
Delphi-DeltaDensity2,2010-2011,hhs3,log,-3.2643625339241216,-3.3698146848765678,-3.2645977864517164,-3.3849730931627096
Delphi-EmpiricalBayes1,2010-2011,hhs3,mae,0.23171875178813567,0.3204836743083008,0.33330001274744464,0.3536206878464841
Delphi-EmpiricalBayes1,2010-2011,hhs3,log,-2.5221378785873987,-2.809118674282942,-2.8323163787868983,-2.9344798779057006
Delphi-EmpiricalBayes2,2010-2011,hhs3,mae,0.5139687344431918,0.8349032155929109,1.1436333219210313,1.45762067087765
Delphi-EmpiricalBayes2,2010-2011,hhs3,log,-3.758812780432132,-4.90446653040708,-5.871544374340951,-6.333352311274028
Delphi-EmpiricalFuture,2010-2011,hhs3,mae,0.7620312362909296,0.7670322433594725,0.773899986743925,0.7689310213615118
Delphi-EmpiricalFuture,2010-2011,hhs3,log,-4.0121447838316415,-4.008998015888719,-4.00307870011959,-3.9947353493093662
Delphi-EmpiricalTraj,2010-2011,hhs3,mae,0.7620312362909296,0.7670322433594725,0.773899986743925,0.7689310213615118
Delphi-EmpiricalTraj,2010-2011,hhs3,log,-4.0121447838316415,-4.008998015888719,-4.00307870011959,-3.9947353493093662
Delphi-Stat,2010-2011,hhs3,mae,0.2396261337234228,0.39207468139245444,0.45675858645020445,0.5170548916697937
Delphi-Stat,2010-2011,hhs3,log,-2.6444436945701093,-3.013003952521938,-3.1423087180296574,-3.2538991605976766
Delphi-Uniform,2010-2011,hhs3,mae,4.5085312604904155,4.4843871070492645,4.45350001255671,4.418517254960944
Delphi-Uniform,2010-2011,hhs3,log,-5.082711728322597,-5.079586700984436,-5.075816183467588,-5.071027398823672
ReichLab-KCDE,2010-2011,hhs3,mae,0.2711562559008607,0.4195483869121948,0.474699981212618,0.59362068094056
ReichLab-KCDE,2010-2011,hhs3,log,-2.73623918501749,-2.99908662875872,-3.121548883370018,-3.233916986025987
