component_model_id,season,target,weight
CU-EKF_SEIRS,2014/2015,1 wk ahead,0.0967955863357104
CU-EKF_SIRS,2014/2015,1 wk ahead,0.0967955863357104
CU-RHF_SEIRS,2014/2015,1 wk ahead,0.0967955863357104
CU-RHF_SIRS,2014/2015,1 wk ahead,0.0967955863357104
Delphi-BasisRegression,2014/2015,1 wk ahead,3.17263080138927e-133
Delphi-DeltaDensity1,2014/2015,1 wk ahead,0.262840084953161
Delphi-DeltaDensity2,2014/2015,1 wk ahead,0.0916068379116083
Delphi-EmpiricalBayes1,2014/2015,1 wk ahead,0.0647758743275583
Delphi-EmpiricalBayes2,2014/2015,1 wk ahead,5.20125550984299e-18
Delphi-EmpiricalFuture,2014/2015,1 wk ahead,1.19207982806705e-75
Delphi-EmpiricalTraj,2014/2015,1 wk ahead,1.19207982806705e-75
Delphi-Stat,2014/2015,1 wk ahead,2.43065413171343e-06
Delphi-Uniform,2014/2015,1 wk ahead,5.73664786112228e-156
LANL-DBM,2014/2015,1 wk ahead,1.2466462365566e-19
ReichLab-KCDE,2014/2015,1 wk ahead,1.081024430597e-08
ReichLab-KDE,2014/2015,1 wk ahead,2.49220585516281e-60
ReichLab-SARIMA1,2014/2015,1 wk ahead,9.78719454372159e-14
ReichLab-SARIMA2,2014/2015,1 wk ahead,2.31391895372029e-15
CU-BMA,2015/2016,1 wk ahead,1.18416866803492e-07
CU-EAKFC_SEIRS,2015/2016,1 wk ahead,0.0862297883331055
CU-EAKFC_SIRS,2015/2016,1 wk ahead,0.0862297883331055
CU-EKF_SEIRS,2015/2016,1 wk ahead,0.0862297883331055
CU-EKF_SIRS,2015/2016,1 wk ahead,0.0862297883331055
CU-RHF_SEIRS,2015/2016,1 wk ahead,0.0862297883331055
CU-RHF_SIRS,2015/2016,1 wk ahead,0.0862297883331055
Delphi-BasisRegression,2015/2016,1 wk ahead,4.81638694036261e-123
Delphi-DeltaDensity1,2015/2016,1 wk ahead,0.241171086521389
Delphi-DeltaDensity2,2015/2016,1 wk ahead,0.139048811563533
Delphi-EmpiricalBayes1,2015/2016,1 wk ahead,0.102397346881919
Delphi-EmpiricalBayes2,2015/2016,1 wk ahead,1.52056732235576e-17
Delphi-EmpiricalFuture,2015/2016,1 wk ahead,1.77606420577284e-72
Delphi-EmpiricalTraj,2015/2016,1 wk ahead,1.77606420577284e-72
Delphi-Stat,2015/2016,1 wk ahead,3.67591784397571e-06
Delphi-Uniform,2015/2016,1 wk ahead,2.71595618382035e-143
LANL-DBM,2015/2016,1 wk ahead,4.06976740625719e-19
ReichLab-KCDE,2015/2016,1 wk ahead,2.3069726065774e-07
ReichLab-KDE,2015/2016,1 wk ahead,7.99264587030716e-59
ReichLab-SARIMA1,2015/2016,1 wk ahead,1.72998811000396e-12
