component_model_id,season,target,weight
Delphi-DeltaDensity2,2011/2012,Season peak week,5.74747625237432e-15
Delphi-DeltaDensity2,2011/2012,Season peak percentage,5.74747625237432e-15
Delphi-EmpiricalBayes1,2011/2012,Season onset,1.16566319913094e-10
Delphi-EmpiricalBayes1,2011/2012,Season peak week,1.16566319913094e-10
Delphi-EmpiricalBayes1,2011/2012,Season peak percentage,1.16566319913094e-10
Delphi-EmpiricalBayes2,2011/2012,Season onset,1.4083022307969e-12
Delphi-EmpiricalBayes2,2011/2012,Season peak week,1.4083022307969e-12
Delphi-EmpiricalBayes2,2011/2012,Season peak percentage,1.4083022307969e-12
Delphi-EmpiricalFuture,2011/2012,Season onset,0.014462293384154
Delphi-EmpiricalFuture,2011/2012,Season peak week,0.014462293384154
Delphi-EmpiricalFuture,2011/2012,Season peak percentage,0.014462293384154
Delphi-EmpiricalTraj,2011/2012,Season onset,4.34699549696419e-67
Delphi-EmpiricalTraj,2011/2012,Season peak week,4.34699549696419e-67
Delphi-EmpiricalTraj,2011/2012,Season peak percentage,4.34699549696419e-67
Delphi-Stat,2011/2012,Season onset,3.02251023076968e-11
Delphi-Stat,2011/2012,Season peak week,3.02251023076968e-11
Delphi-Stat,2011/2012,Season peak percentage,3.02251023076968e-11
Delphi-Uniform,2011/2012,Season onset,6.58784064321309e-114
Delphi-Uniform,2011/2012,Season peak week,6.58784064321309e-114
Delphi-Uniform,2011/2012,Season peak percentage,6.58784064321309e-114
LANL-DBM,2011/2012,Season onset,0.637793244388687
LANL-DBM,2011/2012,Season peak week,0.637793244388687
LANL-DBM,2011/2012,Season peak percentage,0.637793244388687
ReichLab-KCDE,2011/2012,Season onset,0.206386631289798
ReichLab-KCDE,2011/2012,Season peak week,0.206386631289798
ReichLab-KCDE,2011/2012,Season peak percentage,0.206386631289798
ReichLab-KDE,2011/2012,Season onset,2.73743272718944e-42
ReichLab-KDE,2011/2012,Season peak week,2.73743272718944e-42
ReichLab-KDE,2011/2012,Season peak percentage,2.73743272718944e-42
ReichLab-SARIMA1,2011/2012,Season onset,3.66419504276472e-26
ReichLab-SARIMA1,2011/2012,Season peak week,3.66419504276472e-26
ReichLab-SARIMA1,2011/2012,Season peak percentage,3.66419504276472e-26
ReichLab-SARIMA2,2011/2012,Season onset,0.0509346516270905
ReichLab-SARIMA2,2011/2012,Season peak week,0.0509346516270905
ReichLab-SARIMA2,2011/2012,Season peak percentage,0.0509346516270905
CU-BMA,2012/2013,Season onset,0.0426319442176818
CU-BMA,2012/2013,Season peak week,0.0426319442176818
CU-BMA,2012/2013,Season peak percentage,0.0426319442176818
CU-EAKFC_SEIRS,2012/2013,Season onset,0.0125096256347642
CU-EAKFC_SEIRS,2012/2013,Season peak week,0.0125096256347642
CU-EAKFC_SEIRS,2012/2013,Season peak percentage,0.0125096256347642
CU-EAKFC_SIRS,2012/2013,Season onset,0.0192545346706177
CU-EAKFC_SIRS,2012/2013,Season peak week,0.0192545346706177
CU-EAKFC_SIRS,2012/2013,Season peak percentage,0.0192545346706177
CU-EKF_SEIRS,2012/2013,Season onset,5.78212276108663e-05
CU-EKF_SEIRS,2012/2013,Season peak week,5.78212276108663e-05
CU-EKF_SEIRS,2012/2013,Season peak percentage,5.78212276108663e-05
CU-EKF_SIRS,2012/2013,Season onset,1.16204513506049e-05
CU-EKF_SIRS,2012/2013,Season peak week,1.16204513506049e-05
CU-EKF_SIRS,2012/2013,Season peak percentage,1.16204513506049e-05
CU-RHF_SEIRS,2012/2013,Season onset,2.33529452445336e-05
CU-RHF_SEIRS,2012/2013,Season peak week,2.33529452445336e-05
CU-RHF_SEIRS,2012/2013,Season peak percentage,2.33529452445336e-05
CU-RHF_SIRS,2012/2013,Season onset,0.000107226896487118
CU-RHF_SIRS,2012/2013,Season peak week,0.000107226896487118
