component_model_id,season,location,target,weight
FluX-FluX_LSTM,2010/20112019/2020,US National,4 wk ahead,0.03155839059732224
LANL-DBMplus,2010/20112019/2020,US National,4 wk ahead,0.05436097858088476
Protea-Cheetah,2010/20112019/2020,US National,4 wk ahead,0.09187655294909314
Protea-Kudu,2010/20112019/2020,US National,4 wk ahead,0.034317402910455756
Protea-Springbok,2010/20112019/2020,US National,4 wk ahead,0.15106058409568987
ReichLab-KCDE_NB,2010/20112019/2020,US National,4 wk ahead,0.4197095001456714
UA-EpiCos,2010/20112019/2020,US National,4 wk ahead,0.03359784920285538
CU-BMA,2010/20112019/2020,HHS Region 1,Season onset,0.0507763743855563
FluOutlook-Mech,2010/20112019/2020,HHS Region 1,Season onset,0.025017852157193446
FluOutlook-MechAug,2010/20112019/2020,HHS Region 1,Season onset,0.024941583994757634
FluX-ARLR,2010/20112019/2020,HHS Region 1,Season onset,0.009383116393388914
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 1,Season onset,0.05651089847122786
LANL-DBMplus,2010/20112019/2020,HHS Region 1,Season onset,0.1597939579403874
Protea-Cheetah,2010/20112019/2020,HHS Region 1,Season onset,0.17456416222007057
Protea-Kudu,2010/20112019/2020,HHS Region 1,Season onset,0.011169596117885462
Protea-Springbok,2010/20112019/2020,HHS Region 1,Season onset,0.4645199885334147
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 1,Season onset,0.008494727094844615
UA-EpiCos,2010/20112019/2020,HHS Region 1,Season onset,0.014827742691273191
CU-BMA,2010/20112019/2020,HHS Region 1,Season peak week,0.04434125173670174
FluOutlook-Mech,2010/20112019/2020,HHS Region 1,Season peak week,0.021507602967029613
FluOutlook-MechAug,2010/20112019/2020,HHS Region 1,Season peak week,0.02507923471895058
FluX-ARLR,2010/20112019/2020,HHS Region 1,Season peak week,0.01063386897318813
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 1,Season peak week,0.05448641415584975
LANL-DBMplus,2010/20112019/2020,HHS Region 1,Season peak week,0.3373204029835281
Protea-Cheetah,2010/20112019/2020,HHS Region 1,Season peak week,0.14303319448467586
Protea-Kudu,2010/20112019/2020,HHS Region 1,Season peak week,0.016480463800667294
Protea-Springbok,2010/20112019/2020,HHS Region 1,Season peak week,0.2977743151787597
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 1,Season peak week,0.029593404190215566
UA-EpiCos,2010/20112019/2020,HHS Region 1,Season peak week,0.019749846810433597
CU-BMA,2010/20112019/2020,HHS Region 1,Season peak percentage,0.31702361768170895
FluOutlook-Mech,2010/20112019/2020,HHS Region 1,Season peak percentage,0.06706538878054977
FluOutlook-MechAug,2010/20112019/2020,HHS Region 1,Season peak percentage,0.0652931660535735
FluX-ARLR,2010/20112019/2020,HHS Region 1,Season peak percentage,0.01067328817223756
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 1,Season peak percentage,0.02843898964603241
LANL-DBMplus,2010/20112019/2020,HHS Region 1,Season peak percentage,0.2990986185182008
Protea-Cheetah,2010/20112019/2020,HHS Region 1,Season peak percentage,0.03136404948734984
Protea-Kudu,2010/20112019/2020,HHS Region 1,Season peak percentage,0.014715377679127182
Protea-Springbok,2010/20112019/2020,HHS Region 1,Season peak percentage,0.09672280070745419
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 1,Season peak percentage,0.016170036165268846
UA-EpiCos,2010/20112019/2020,HHS Region 1,Season peak percentage,0.05343466710849715
CU-BMA,2010/20112019/2020,HHS Region 1,1 wk ahead,0.027573618634863052
FluOutlook-Mech,2010/20112019/2020,HHS Region 1,1 wk ahead,0.08312477576660479
FluOutlook-MechAug,2010/20112019/2020,HHS Region 1,1 wk ahead,0.14331326718186294
FluX-ARLR,2010/20112019/2020,HHS Region 1,1 wk ahead,0.01993156295958442
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 1,1 wk ahead,0.02195524375642256
LANL-DBMplus,2010/20112019/2020,HHS Region 1,1 wk ahead,0.2495352347095866
Protea-Cheetah,2010/20112019/2020,HHS Region 1,1 wk ahead,0.17086972793859811
Protea-Kudu,2010/20112019/2020,HHS Region 1,1 wk ahead,0.016367459411237035
Protea-Springbok,2010/20112019/2020,HHS Region 1,1 wk ahead,0.19559288812188022
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 1,1 wk ahead,0.014605592147247418
UA-EpiCos,2010/20112019/2020,HHS Region 1,1 wk ahead,0.05713062937211304
CU-BMA,2010/20112019/2020,HHS Region 1,2 wk ahead,0.03808853860887038
FluOutlook-Mech,2010/20112019/2020,HHS Region 1,2 wk ahead,0.05906191398861472
FluOutlook-MechAug,2010/20112019/2020,HHS Region 1,2 wk ahead,0.1316442984946488
FluX-ARLR,2010/20112019/2020,HHS Region 1,2 wk ahead,0.021622358058917844
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 1,2 wk ahead,0.026866940419494823
LANL-DBMplus,2010/20112019/2020,HHS Region 1,2 wk ahead,0.13091283450381805
Protea-Cheetah,2010/20112019/2020,HHS Region 1,2 wk ahead,0.18043339931019559
Protea-Kudu,2010/20112019/2020,HHS Region 1,2 wk ahead,0.018353391204657316
Protea-Springbok,2010/20112019/2020,HHS Region 1,2 wk ahead,0.32352042174922974
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 1,2 wk ahead,0.029600835029631276
UA-EpiCos,2010/20112019/2020,HHS Region 1,2 wk ahead,0.03989506863192152
CU-BMA,2010/20112019/2020,HHS Region 1,3 wk ahead,0.051563912137637634
FluOutlook-Mech,2010/20112019/2020,HHS Region 1,3 wk ahead,0.05201792857800419
FluOutlook-MechAug,2010/20112019/2020,HHS Region 1,3 wk ahead,0.11182427954805592
FluX-ARLR,2010/20112019/2020,HHS Region 1,3 wk ahead,0.02349934850637621
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 1,3 wk ahead,0.02984535550511322
LANL-DBMplus,2010/20112019/2020,HHS Region 1,3 wk ahead,0.10016776571251038
Protea-Cheetah,2010/20112019/2020,HHS Region 1,3 wk ahead,0.1483790335230449
Protea-Kudu,2010/20112019/2020,HHS Region 1,3 wk ahead,0.023992845850689646
Protea-Springbok,2010/20112019/2020,HHS Region 1,3 wk ahead,0.368332605214528
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 1,3 wk ahead,0.047689593772065074
UA-EpiCos,2010/20112019/2020,HHS Region 1,3 wk ahead,0.042687331651974934
CU-BMA,2010/20112019/2020,HHS Region 1,4 wk ahead,0.04920108282903126
FluOutlook-Mech,2010/20112019/2020,HHS Region 1,4 wk ahead,0.05091597104269867
FluOutlook-MechAug,2010/20112019/2020,HHS Region 1,4 wk ahead,0.0836207286649404
FluX-ARLR,2010/20112019/2020,HHS Region 1,4 wk ahead,0.024447242757728176
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 1,4 wk ahead,0.03244444254289298
LANL-DBMplus,2010/20112019/2020,HHS Region 1,4 wk ahead,0.05753913289716831
Protea-Cheetah,2010/20112019/2020,HHS Region 1,4 wk ahead,0.14671346140567443
Protea-Kudu,2010/20112019/2020,HHS Region 1,4 wk ahead,0.03101522382607454
Protea-Springbok,2010/20112019/2020,HHS Region 1,4 wk ahead,0.4314882514709453
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 1,4 wk ahead,0.05403998126764506
UA-EpiCos,2010/20112019/2020,HHS Region 1,4 wk ahead,0.03857448129520066
CU-BMA,2010/20112019/2020,HHS Region 2,Season onset,0.13061643070133944
FluOutlook-Mech,2010/20112019/2020,HHS Region 2,Season onset,0.02539029215447074
FluOutlook-MechAug,2010/20112019/2020,HHS Region 2,Season onset,0.02103404076680738
FluX-ARLR,2010/20112019/2020,HHS Region 2,Season onset,0.010645296159949568
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 2,Season onset,0.07633301250920806
LANL-DBMplus,2010/20112019/2020,HHS Region 2,Season onset,0.0950798849763445
Protea-Cheetah,2010/20112019/2020,HHS Region 2,Season onset,0.15039793530665058
Protea-Kudu,2010/20112019/2020,HHS Region 2,Season onset,0.012115282675219753
