component_model_id,season,location,target,weight
ReichLab-KCDE_PHB,2010/2011,US National,Season peak percentage,0.02368499043397071
ReichLab-KDE,2010/2011,US National,Season peak percentage,0.004253028785764466
ReichLab-SARIMA1,2010/2011,US National,Season peak percentage,0.012110844623699291
ReichLab-SARIMA2,2010/2011,US National,Season peak percentage,0.1513798468351107
UA-EpiCos,2010/2011,US National,Season peak percentage,0.004842459652442518
CU-BMA,2010/2011,US National,1 wk ahead,0.005872620437173028
CU-EAKFC_SEIRS,2010/2011,US National,1 wk ahead,0.020541633756016104
CU-EAKFC_SIRS,2010/2011,US National,1 wk ahead,0.01940505915594128
CU-EKF_SEIRS,2010/2011,US National,1 wk ahead,0.02001569412782518
CU-EKF_SIRS,2010/2011,US National,1 wk ahead,0.01938567377671964
CU-RHF_SEIRS,2010/2011,US National,1 wk ahead,0.020305025093918166
CU-RHF_SIRS,2010/2011,US National,1 wk ahead,0.019441234259255386
Delphi-BasisRegression,2010/2011,US National,1 wk ahead,0.17024850593105606
Delphi-DeltaDensity1,2010/2011,US National,1 wk ahead,0.0837183196811786
Delphi-DeltaDensity2,2010/2011,US National,1 wk ahead,0.15875346921646546
Delphi-EmpiricalFuture,2010/2011,US National,1 wk ahead,0.0048543080079546715
Delphi-EmpiricalTraj,2010/2011,US National,1 wk ahead,0.0038742161201154265
Delphi-Uniform,2010/2011,US National,1 wk ahead,0.0035305012214688234
FluOutlook-Mech,2010/2011,US National,1 wk ahead,0.010083126475256828
FluOutlook-MechAug,2010/2011,US National,1 wk ahead,0.2045925603255195
FluX-ARLR,2010/2011,US National,1 wk ahead,0.015201108827897127
FluX-FluX_LSTM,2010/2011,US National,1 wk ahead,0.005520988044463774
LANL-DBMplus,2010/2011,US National,1 wk ahead,0.11808033215671739
Protea-Cheetah,2010/2011,US National,1 wk ahead,0.02011977125949117
Protea-Kudu,2010/2011,US National,1 wk ahead,0.004104451495813055
Protea-Springbok,2010/2011,US National,1 wk ahead,0.021402833904150237
ReichLab-KCDE_NB,2010/2011,US National,1 wk ahead,0.008889477721173598
ReichLab-KCDE_PHB,2010/2011,US National,1 wk ahead,0.008937104968918006
ReichLab-KDE,2010/2011,US National,1 wk ahead,0.004121720535978558
ReichLab-SARIMA1,2010/2011,US National,1 wk ahead,0.011563517920050982
ReichLab-SARIMA2,2010/2011,US National,1 wk ahead,0.01006216424008837
UA-EpiCos,2010/2011,US National,1 wk ahead,0.007374581339393417
CU-BMA,2010/2011,US National,2 wk ahead,0.010474940413579015
CU-EAKFC_SEIRS,2010/2011,US National,2 wk ahead,0.02862239502122817
CU-EAKFC_SIRS,2010/2011,US National,2 wk ahead,0.015577621580032659
CU-EKF_SEIRS,2010/2011,US National,2 wk ahead,0.01677044562586234
CU-EKF_SIRS,2010/2011,US National,2 wk ahead,0.009799315938957978
CU-RHF_SEIRS,2010/2011,US National,2 wk ahead,0.1131846838579875
