component_model_id,season,location,target,weight
Delphi-DeltaDensity1,2013/2014,HHS Region 1,1 wk ahead,0.538352788992709
Delphi-DeltaDensity2,2013/2014,HHS Region 1,1 wk ahead,0.154619452121051
Delphi-EmpiricalBayes1,2013/2014,HHS Region 1,1 wk ahead,0.0963800592190551
Delphi-EmpiricalBayes2,2013/2014,HHS Region 1,1 wk ahead,1.4188748679402e-35
Delphi-EmpiricalFuture,2013/2014,HHS Region 1,1 wk ahead,1.40891737395344e-167
Delphi-EmpiricalTraj,2013/2014,HHS Region 1,1 wk ahead,1.40891737395344e-167
Delphi-Stat,2013/2014,HHS Region 1,1 wk ahead,3.97785827132606e-12
Delphi-Uniform,2013/2014,HHS Region 1,1 wk ahead,0
LANL-DBM,2013/2014,HHS Region 1,1 wk ahead,1.0208630437692e-35
ReichLab-KCDE,2013/2014,HHS Region 1,1 wk ahead,9.09677078832879e-14
ReichLab-KDE,2013/2014,HHS Region 1,1 wk ahead,2.84315964898286e-116
ReichLab-SARIMA1,2013/2014,HHS Region 1,1 wk ahead,7.72957010403343e-28
ReichLab-SARIMA2,2013/2014,HHS Region 1,1 wk ahead,1.61216005817953e-36
CU-BMA,2014/2015,HHS Region 1,1 wk ahead,1.17640211084829e-39
CU-EAKFC_SEIRS,2014/2015,HHS Region 1,1 wk ahead,0.0479966264935851
CU-EAKFC_SIRS,2014/2015,HHS Region 1,1 wk ahead,0.0479966264935851
CU-EKF_SEIRS,2014/2015,HHS Region 1,1 wk ahead,0.0479966264935851
CU-EKF_SIRS,2014/2015,HHS Region 1,1 wk ahead,0.0479966264935851
CU-RHF_SEIRS,2014/2015,HHS Region 1,1 wk ahead,0.0479966264935851
CU-RHF_SIRS,2014/2015,HHS Region 1,1 wk ahead,0.0479966264935851
Delphi-BasisRegression,2014/2015,HHS Region 1,1 wk ahead,4.10772299322108e-66
Delphi-DeltaDensity1,2014/2015,HHS Region 1,1 wk ahead,0.000609978673341636
Delphi-DeltaDensity2,2014/2015,HHS Region 1,1 wk ahead,0.298923472380357
Delphi-EmpiricalBayes1,2014/2015,HHS Region 1,1 wk ahead,0.412486789984791
Delphi-EmpiricalBayes2,2014/2015,HHS Region 1,1 wk ahead,2.52495139927212e-85
Delphi-EmpiricalFuture,2014/2015,HHS Region 1,1 wk ahead,0
Delphi-EmpiricalTraj,2014/2015,HHS Region 1,1 wk ahead,0
Delphi-Stat,2014/2015,HHS Region 1,1 wk ahead,5.69770653275031e-29
Delphi-Uniform,2014/2015,HHS Region 1,1 wk ahead,0
LANL-DBM,2014/2015,HHS Region 1,1 wk ahead,7.22412357178267e-94
ReichLab-KCDE,2014/2015,HHS Region 1,1 wk ahead,1.44647503368571e-30
ReichLab-KDE,2014/2015,HHS Region 1,1 wk ahead,2.8308190284425e-275
ReichLab-SARIMA1,2014/2015,HHS Region 1,1 wk ahead,7.15919158715682e-69
ReichLab-SARIMA2,2014/2015,HHS Region 1,1 wk ahead,1.17290062213654e-86
CU-BMA,2015/2016,HHS Region 1,1 wk ahead,4.49651959933993e-07
CU-EAKFC_SEIRS,2015/2016,HHS Region 1,1 wk ahead,1.31849463046846e-06
CU-EAKFC_SIRS,2015/2016,HHS Region 1,1 wk ahead,1.31849463046846e-06
CU-EKF_SEIRS,2015/2016,HHS Region 1,1 wk ahead,1.31849463046846e-06
CU-EKF_SIRS,2015/2016,HHS Region 1,1 wk ahead,1.31849463046846e-06
CU-RHF_SEIRS,2015/2016,HHS Region 1,1 wk ahead,1.31849463046846e-06
CU-RHF_SIRS,2015/2016,HHS Region 1,1 wk ahead,1.31849463046846e-06
Delphi-BasisRegression,2015/2016,HHS Region 1,1 wk ahead,6.23169621687644e-22
Delphi-DeltaDensity1,2015/2016,HHS Region 1,1 wk ahead,0.506143445249
Delphi-DeltaDensity2,2015/2016,HHS Region 1,1 wk ahead,0.189942090601111
Delphi-EmpiricalBayes1,2015/2016,HHS Region 1,1 wk ahead,0.303906088437857
Delphi-EmpiricalBayes2,2015/2016,HHS Region 1,1 wk ahead,3.63409835755163e-26
Delphi-EmpiricalFuture,2015/2016,HHS Region 1,1 wk ahead,6.89132197413179e-117
Delphi-EmpiricalTraj,2015/2016,HHS Region 1,1 wk ahead,6.89132197413179e-117
Delphi-Stat,2015/2016,HHS Region 1,1 wk ahead,1.5080709295738e-08
Delphi-Uniform,2015/2016,HHS Region 1,1 wk ahead,1.2833950738394e-249
LANL-DBM,2015/2016,HHS Region 1,1 wk ahead,1.05474167362777e-24
ReichLab-KCDE,2015/2016,HHS Region 1,1 wk ahead,1.1579615566403e-11
ReichLab-KDE,2015/2016,HHS Region 1,1 wk ahead,3.58473246954607e-80
ReichLab-SARIMA1,2015/2016,HHS Region 1,1 wk ahead,7.75869398616246e-20
ReichLab-SARIMA2,2015/2016,HHS Region 1,1 wk ahead,1.94086144271829e-26
CU-BMA,2016/2017,HHS Region 1,1 wk ahead,2.52178038807553e-07
